Code,Name,Group,MainGroupCode,MainGroupDescriptionSe,MainGroupDescriptionEn,GroupCode,GroupCodeDescriptionSe,GroupCodeDescriptionEn,CountyCode,CountyName,HealthcareRegionName,Ald0_5,Ald6_9,Ald10_15,Ald16_19,Ald20_24,Ald25_29,Ald30_34,Ald35_39,Ald40_44,Ald45_49,Ald50_54,Ald55_59,Ald60_64,Ald65_69,Ald70_74,Ald75_79,Ald80_w,Pop_sum,lat,long,Age_gp1,Age_gp2,Age_gp3
781,Ljungby,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,07,Kronobergs län,Region Kronoberg,1883,1237,1981,1221,1442,1855,1695,1517,1709,1816,2022,1784,1716,1708,1777,1289,1885,28537,13.82798067,56.81434667,0.706521358,0.227424046,0.066054596
2161,Ljusdal,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,21,Gävleborgs län,Region Gävleborg,1081,815,1313,859,896,1069,997,884,1013,1141,1312,1216,1298,1373,1463,936,1351,19017,15.53752124,61.85290436,0.662354735,0.266603565,0.0710417
1864,Ljusnarsberg,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,18,Örebro län,Region Örebro län,253,175,273,206,224,255,196,231,251,280,346,344,368,397,388,323,329,4839,14.96793396,59.93710596,0.626989047,0.305021699,0.067989254
1262,Lomma,A2,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,2,Pendlingskommun nära storstad,Commuting municipality near large city,12,Skåne län,Region Skåne,1898,1676,2388,1235,924,751,943,1501,2013,2016,1858,1371,1097,1098,1387,1210,1386,24752,13.05119316,55.6989409,0.750404008,0.193600517,0.055995475
2085,Ludvika,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,20,Dalarnas län,Region Dalarna,1978,1276,1746,1146,1301,1752,1706,1480,1420,1600,1725,1702,1575,1658,1783,1328,1730,26906,14.76331135,60.18193759,0.699918234,0.23578384,0.064297926
2580,Luleå,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,25,Norrbottens län,Region Norrbotten,4807,3350,4930,3370,5866,5900,4916,4426,4553,4967,5527,4731,4503,4386,4203,3266,4079,77780,22.3529263,65.57490642,0.737246079,0.210311134,0.052442787
1281,Lund,B3,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,3,Större stad,Medium-sized town,12,Skåne län,Region Skåne,7959,5907,8326,5178,13464,11377,8498,7925,7431,7200,7137,6003,5799,5828,5588,4121,5036,122777,13.37319809,55.66789523,0.785204069,0.173778476,0.041017454
2481,Lycksele,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,24,Västerbottens län,Region Västerbotten,873,581,790,561,599,806,708,663,588,706,762,771,819,782,790,594,828,12221,18.46003697,64.65366533,0.687996072,0.244251698,0.06775223
1484,Lysekil,B5,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,5,Lågpendlingskommun nära större stad,Low commuting rate municipalities near medium-sized town,14,Västra Götalands län,Västra Götalandsregionen,798,604,887,615,674,713,674,680,716,840,1036,1003,1080,1203,1136,839,1102,14600,11.26954827,58.28266162,0.632876712,0.291643836,0.075479452
1280,Malmö,A1,A,Storstäder och storstadsnära kommuner,Large cities and municipalities near large cities,1,Storstäder,Large city,12,Skåne län,Region Skåne,28358,16856,20840,12508,20960,32746,31267,27260,23015,19817,19561,17736,15951,14539,13076,9512,14229,338231,12.9398611,55.56709135,0.801002865,0.156928253,0.042068882
2023,Malung-Sälen,C9,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,9,Landsbygdskommun med besöksnäring,Rural municipality with visitor industry,20,Dalarnas län,Region Dalarna,559,401,629,418,520,594,547,514,571,658,726,651,690,691,729,507,698,10103,13.36851429,60.88425322,0.67187964,0.259031971,0.06908839
2418,Malå,C8,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,8,Landsbygdskommun,Rural municipality,24,Västerbottens län,Region Västerbotten,187,142,218,153,146,171,138,152,147,163,194,215,241,241,221,163,230,3122,18.72599135,65.23681766,0.648942985,0.277386291,0.073670724
1493,Mariestad,C6,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,6,Mindre stad/tätort,Small town,14,Västra Götalands län,Västra Götalandsregionen,1548,1069,1565,987,1229,1587,1329,1184,1267,1439,1720,1591,1501,1529,1777,1312,1717,24351,13.73486151,58.80654506,0.678206234,0.251283315,0.070510451
1463,Mark,B4,B,Större städer och kommuner nära större stad,Medium-sized towns and municipalities near medium-sized towns,4,Pendlingskommun nära större stad,Commuting municipality near medium-sized town,14,Västra Götalands län,Västra Götalandsregionen,2261,1689,2631,1642,1760,2047,1890,1896,1998,2275,2473,2200,2122,2198,2086,1462,2132,34762,12.60693066,57.46409536,0.712329555,0.226339106,0.061331339
767,Markaryd,C7,C,Mindre städer/tätorter och landsbygdskommuner,Smaller towns/urban areas and rural municipalities,7,Pendlingskommun nära mindre stad/tätort,Commuting municipality near small town,07,Kronobergs län,Region Kronoberg,714,464,733,441,535,605,559,565,589,597,695,595,593,646,695,499,727,10252,13.6130182,56.54114429,0.69176746,0.237319547,0.070912993
